COLLECTION 8 - CLASSES,,,
MapBiomas Class,gpw_class,weight,obs
1. Forest,na,0,
1.1. Forest Formation,0,1,
1.2. Savanna Formation,1,3,
1.3. Mangrove,0,2,
1.4 Floodable Forest (beta),0,0,
1.5. Wooded Sandbank Vegetation,0,2,
2. Non Forest Natural Formation,na,0,
2.1. Wetland,0,3,It may have some mixture with natural grassland in it (flooded fields)
2.2. Grassland,1,1,
2.3. Hypersaline Tidal Flat,0,1,
2.4. Rocky Outcrop,0,1,
2.5. Herbaceous Sandbank Vegetation,1,1,
2.6. Other non Forest Formations,0,0,
3. Farming,na,0,
3.1. Pasture,2,1,
3.2. Agriculture,3,0,It has a level 3 classification differenciating crops
3.3. Forest Plantation,0,0,
3.4. Mosaic of Uses,0,2,
4. Non vegetated area,na,0,
"4.1. Beach, Dune and Sand Spot",0,0,
4.2. Urban Area,0,0,
4.3. Mining,0,0,
4.4. Other non Vegetated Areas,0,2,
5. Water,na,0,
"5.1. River, Lake and Ocean",0,0,
5.2. Aquaculture,0,0,
6. Not Observed,na,0,